DateTime_Full,Htl,Hdbt,Hc,Qve,ΣQx,Qxt,Qxm,Ncxs,Ncxm
10/1/2025 0:00,217.49,222.5,205,203,203,47,156,0,1
10/1/2025 1:00,217.5,222.5,205,243.22,203,47,156,0,1
10/1/2025 2:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 3:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 4:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 5:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 6:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 7:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 8:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 9:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 10:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 11:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 12:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 13:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 14:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 15:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 16:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 17:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 18:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 19:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 20:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 21:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 22:00,217.5,222.5,205,203,203,47,156,0,1
10/1/2025 23:00,217.5,222.5,205,203,203,47,156,0,1
10/2/2025 0:00,217.5,222.5,205,203,203,47,156,0,1
10/2/2025 1:00,217.5,222.5,205,203,203,47,156,0,1
10/2/2025 2:00,217.5,222.5,205,203,203,47,156,0,1
10/2/2025 3:00,217.5,222.5,205,203,203,47,156,0,1
10/2/2025 4:00,217.5,222.5,205,203,203,47,156,0,1
10/2/2025 5:00,217.5,222.5,205,203,203,47,156,0,1
10/2/2025 6:00,217.5,222.5,205,203,203,47,156,0,1
10/2/2025 7:00,217.5,222.5,205,203,203,47,156,0,1
10/2/2025 8:00,217.5,222.5,205,203,203,47,156,0,1
10/2/2025 9:00,217.5,222.5,205,203,203,47,156,0,1
10/2/2025 10:00,217.5,222.5,205,203,203,47,156,0,1
10/2/2025 11:00,217.5,222.5,205,203,203,47,156,0,1
10/2/2025 12:00,217.5,222.5,205,203,203,47,156,0,1
10/2/2025 13:00,217.5,222.5,205,203,203,47,156,0,1
10/2/2025 14:00,217.5,222.5,205,203,203,47,156,0,1
10/2/2025 15:00,217.5,222.5,205,203,203,47,156,0,1
10/2/2025 16:00,217.49,222.5,205,162.78,203,47,156,0,1
10/2/2025 17:00,217.48,222.5,205,162.78,203,47,156,0,1
10/2/2025 18:00,217.47,222.5,205,162.78,203,47,156,0,1
10/2/2025 19:00,217.45,222.5,205,122.56,203,47,156,0,1
10/2/2025 20:00,217.43,222.5,205,122.56,203,47,156,0,1
10/2/2025 21:00,217.41,222.5,205,122.56,203,47,156,0,1
10/2/2025 22:00,217.39,222.5,205,122.56,203,47,156,0,1
10/2/2025 23:00,217.37,222.5,205,122.56,203,47,156,0,1
10/3/2025 0:00,217.35,222.5,205,122.56,203,47,156,0,1
10/3/2025 1:00,217.34,222.5,205,162.78,203,47,156,0,1
10/3/2025 2:00,217.33,222.5,205,162.78,203,47,156,0,1
10/3/2025 3:00,217.32,222.5,205,162.78,203,47,156,0,1
10/3/2025 4:00,217.31,222.5,205,162.78,203,47,156,0,1
10/3/2025 5:00,217.3,222.5,205,162.78,203,47,156,0,1
10/3/2025 6:00,217.28,222.5,205,122.56,203,47,156,0,1
10/3/2025 7:00,217.26,222.5,205,122.56,203,47,156,0,1
10/3/2025 8:00,217.24,222.5,205,122.56,203,47,156,0,1
10/3/2025 9:00,217.22,222.5,205,122.56,203,47,156,0,1
10/3/2025 10:00,217.2,222.5,205,122.56,203,47,156,0,1
10/3/2025 11:00,217.19,222.5,205,162.78,203,47,156,0,1
10/3/2025 12:00,217.18,222.5,205,162.78,203,47,156,0,1
10/3/2025 13:00,217.17,222.5,205,162.78,203,47,156,0,1
10/3/2025 14:00,217.16,222.5,205,162.78,203,47,156,0,1
10/3/2025 15:00,217.15,222.5,205,162.78,203,47,156,0,1
10/3/2025 16:00,217.13,222.5,205,122.56,203,47,156,0,1
10/3/2025 17:00,217.11,222.5,205,122.56,203,47,156,0,1
10/3/2025 18:00,217.09,222.5,205,122.56,203,47,156,0,1
10/3/2025 19:00,217.07,222.5,205,122.56,203,47,156,0,1
10/3/2025 20:00,217.05,222.5,205,122.56,203,47,156,0,1
10/3/2025 21:00,217.03,222.5,205,122.56,203,47,156,0,1
10/3/2025 22:00,217.01,222.5,205,122.56,203,47,156,0,1
10/3/2025 23:00,216.99,222.5,205,122.56,203,47,156,0,1
10/4/2025 0:00,216.98,222.5,205,162.78,203,47,156,0,1
10/4/2025 1:00,216.97,222.5,205,162.78,203,47,156,0,1
10/4/2025 2:00,216.97,222.5,205,203,203,47,156,0,1
