Country,Year,Gold_tons,GDP_USD_bn,FX_Reserves_USD_bn,Debt_GDP_pct,CPI_pct
Vietnam,2020,50,270,95,46,3.2
Vietnam,2021,50,362,110,43,1.8
Vietnam,2022,50,408,100,39,3.2
Vietnam,2023,50,430,95,40,3.5
Vietnam,2024,50,450,100,40,3.8
Vietnam,2025,50,470,105,40,4
